"Distancia" "Costo"
"1" 35.9317588945221 118.987075632546
"2" 1.56674622558057 102.471688948175
"3" 101.264261450143 182.696465282525
"4" 93.7050839377595 202.951906295625
"5" 139.482067901985 238.716696493137
"6" 217.096685791824 329.209999463014
"7" 17.263631359674 129.328555606077
"8" 88.7928399215353 227.75636239857
"9" 95.8915288518083 202.090805491389
"10" 15.5698327580467 107.092945781067
"11" 0.909852888435125 118.527595896631
"12" 6.61701306421044 107.549235426767
"13" 1.84427846688777 118.866257309569
"14" 16.1932212300599 126.051242782327
"15" 64.7983369396484 170.269886440583
"16" 121.489400702445 230.769665119487
"17" 38.3092396871603 135.219985281435
"18" 41.6239323468386 142.920573935874
"19" 2.40889285636699 126.705799352341
"20" 2.63104459736496 106.926774635888
"21" 33.4873125655577 170.47824035942
"22" 17.1099456492811 115.732455593706
"23" 183.739302044775 302.211313709263
"24" 112.149691349557 211.374257920962
"25" 26.5076549490914 149.203984617541
"26" 180.065259042012 339.545824876058
"27" 63.8735228662795 184.351712205356
"28" 14.1368387965485 92.1914611081453
"29" 31.8480235291645 124.460931532675
"30" 49.8637427709728 199.424275512639
