"Metros2" "ConsumoGas"
"1" 92.2375675002152 257.282306837615
"2" 66.574078243577 211.224748349146
"3" 79.6360684418536 261.882399450378
"4" 50.9092352183543 110.545856647474
"5" 147.520426688239 431.358473267235
"6" 163.054528061074 425.960960184674
"7" 124.034085915137 440.956775619879
"8" 124.722731632727 361.024419774105
"9" 58.7770217150042 201.416523595538
"10" 118.687316840762 339.844470776706
"11" 53.3752508477171 179.705052872093
"12" 101.452769666413 251.272990164175
"13" 22.9299161058783 81.8296559116046
"14" 118.570923242889 412.073472923054
"15" 88.2938181901549 342.909706589257
"16" 95.5973049479063 269.891111860434
"17" 65.1003945641967 236.839217182306
"18" 86.7641733876773 276.081838371408
"19" 29.3664403316209 133.324081076002
"20" 95.9931521884263 388.778687998661
"21" 83.3894574699358 319.470793640194
"22" 80.533757874101 230.63522201152
"23" 118.075371737244 309.313723733044
"24" 48.6114446187261 232.035843747594
"25" 82.866816071785 212.779747137858
"26" 127.04557061769 405.473892685246
"27" 77.29090324482 189.222733816885
"28" 74.7212050693332 245.644504403026
"29" 110.001312878077 274.519382321561
"30" 82.5887103165588 299.131388447584
